testing 1, 2, 3.
481,2020/3/2 13:6:29,75,98626.9
482,2020/3/2 13:6:30,75,98634.5
483,2020/3/2 13:6:31,75,98627.4
484,2020/3/2 13:6:32,75,98631.4
485,2020/3/2 13:6:33,75,98633.8
486,2020/3/2 13:6:34,75,98642.5
487,2020/3/2 13:6:35,75,98638.2
488,2020/3/2 13:6:36,75,98650.1
489,2020/3/2 13:6:37,75,98663.3
490,2020/3/2 13:6:39,75,98669.0
491,2020/3/2 13:6:40,75,98678.2
492,2020/3/2 13:6:41,75,98672.6
493,2020/3/2 13:6:42,75,98668.6
494,2020/3/2 13:6:43,75,98667.4
495,2020/3/2 13:6:44,75,98668.2
496,2020/3/2 13:6:45,75,98664.2
497,2020/3/2 13:6:46,75,98663.8
498,2020/3/2 13:6:47,75,98657.1
499,2020/3/2 13:6:48,75,98663.1
500,2020/3/2 13:6:49,75,98661.1
501,2020/3/2 13:6:50,75,98665.8
502,2020/3/2 13:6:51,75,98663.5
503,2020/3/2 13:6:52,75,98668.6
504,2020/3/2 13:6:53,75,98669.5
505,2020/3/2 13:6:54,75,98673.4
506,2020/3/2 13:6:55,75,98680.6
507,2020/3/2 13:6:56,75,98677.0
508,2020/3/2 13:6:57,75,98680.6
509,2020/3/2 13:6:58,75,98687.0
510,2020/3/2 13:6:59,75,98693.8
511,2020/3/2 13:7:0,75,98691.5
512,2020/3/2 13:7:1,75,98694.7
513,2020/3/2 13:7:2,75,98703.1
514,2020/3/2 13:7:3,75,98700.3
515,2020/3/2 13:7:4,75,98696.0
516,2020/3/2 13:7:5,75,98706.3
517,2020/3/2 13:7:6,75,98714.0
518,2020/3/2 13:7:7,75,98717.5
519,2020/3/2 13:7:8,75,98716.0
520,2020/3/2 13:7:9,75,98717.2
521,2020/3/2 13:7:10,75,98720.0
522,2020/3/2 13:7:11,75,98717.2
523,2020/3/2 13:7:12,75,98718.0
524,2020/3/2 13:7:13,75,98716.9
525,2020/3/2 13:7:14,75,98714.9
526,2020/3/2 13:7:15,75,98713.8
527,2020/3/2 13:7:16,75,98718.2
528,2020/3/2 13:7:17,74,98718.4
529,2020/3/2 13:7:18,74,98722.4
530,2020/3/2 13:7:20,74,98719.6
531,2020/3/2 13:7:21,74,98714.0
532,2020/3/2 13:7:22,74,98709.7
533,2020/3/2 13:7:23,74,98707.3
534,2020/3/2 13:7:24,74,98714.9
535,2020/3/2 13:7:25,74,98716.5
536,2020/3/2 13:7:26,74,98717.7
537,2020/3/2 13:7:27,74,98714.5
538,2020/3/2 13:7:28,74,98716.9
539,2020/3/2 13:7:29,74,98712.1
540,2020/3/2 13:7:30,74,98710.1
541,2020/3/2 13:7:31,74,98717.6
542,2020/3/2 13:7:32,74,98711.3
543,2020/3/2 13:7:33,74,98717.2
544,2020/3/2 13:7:34,74,98718.0
545,2020/3/2 13:7:35,74,98717.2
546,2020/3/2 13:7:36,74,98711.6
547,2020/3/2 13:7:37,74,98726.3
548,2020/3/2 13:7:38,74,98728.3
549,2020/3/2 13:7:39,75,98741.0
550,2020/3/2 13:7:40,75,98735.8
551,2020/3/2 13:7:41,75,98725.4
552,2020/3/2 13:7:42,75,98720.2
553,2020/3/2 13:7:43,75,98724.6
554,2020/3/2 13:7:44,75,98721.0
